公司,2017Q4,2018Q2,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2018Q1,2018Q3,Category,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
6166 凌華,"2,756,464","2,682,625","3,028,282","2,662,053","2,559,000","2,400,181","2,875,836","2,480,125","2,152,652","2,284,109","2,718,792","2,097,421","2,259,353","2,291,856","3,024,424","2,581,384","2,787,997","3,061,122","3,287,672","2,879,443","2,939,540","2,671,859","2,923,677","2,053,728","2,521,618","2,432,740","3,070,252","1,351,234","1,816,428","1,710,158","1,602,014","1,669,323","2,254,937","2,037,800","2,085,244","2,184,177","2,393,703","2,333,149","2,157,094","2,063,601","2,347,277","2,302,493","2,856,370","2,302,774","2,720,645","2,888,011","2,260,180","2,506,021",Revenue,"2,675,187","2,926,638","3,083,012","3,116,380","3,443,841","4,459,448"
3088 艾訊,"957,637","1,387,877","1,270,455","1,109,217","1,196,194","1,173,219","1,260,281","1,124,237","1,125,266","1,149,209","1,204,067","968,706","1,101,379","1,547,069","1,452,452","1,484,823","1,595,521","1,723,050","1,815,433","1,577,525","1,850,852","1,650,369","1,621,733","1,409,106","1,619,771","1,911,732","1,952,462","809,989","856,039","1,034,753","990,130","1,094,581","1,131,754","1,076,888","1,065,698","1,144,162","1,027,970","1,230,720","1,388,047","1,285,046","1,062,546","1,194,704","1,164,813","1,046,832","955,825","1,033,935","1,141,235","1,211,077",Revenue,"1,635,963","1,618,603","1,744,511","2,019,648","2,120,523","2,492,825"
6579 研揚,"1,272,952","1,392,935","1,477,260","1,541,269","1,604,614","1,431,128","1,571,369","1,398,201","1,602,325","1,486,895","1,410,764","1,266,555","1,404,716","1,559,749","2,116,684","1,951,691","2,085,452","2,059,391","2,255,542","1,928,838","2,056,104","2,063,003","2,025,258","1,802,503","1,919,052","1,734,104","1,730,372",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,914,030","1,514,514","1,337,818","1,336,915","1,466,224","1,335,449","1,281,229","1,648,831",Revenue,"1,958,385","2,101,863","2,305,505","2,259,630","2,410,208","2,817,352"
公司平均數,"2,607,383.5","2,503,053","2,547,461.2","2,445,695.5","2,702,852","2,674,159","2,797,505.8","2,377,629.8","2,674,410.8","2,577,187","2,651,472","2,472,836.5","2,915,195","3,150,218.2","3,385,367.2","3,292,540","3,173,218.8","3,790,265.8","3,442,826.5","3,166,803","3,147,091.5","2,905,070.5","2,286,765.5","2,390,968","2,624,250.5","2,739,008.8","3,026,508","1,593,679.9","1,876,934.6","1,909,919.1","1,955,372.8","1,983,522.9","2,300,596.5","2,218,969.2","2,266,453.2","2,216,504.8","2,447,405.8","2,342,856","2,447,416.5","2,450,832.5","2,641,948.5","2,441,903.8","2,565,072.2","2,291,413.5","2,551,559.5","2,615,183","2,477,520.5","2,786,008.5",Revenue,"3,034,489.5","3,139,618","3,127,791.2","3,147,669.5","3,494,638.8","4,486,571"
電腦及週邊設備業,"18,367,723.15","14,854,845.09","18,949,546.02","14,712,700.67","15,467,943.65","16,909,686.25","18,428,503.28","12,999,602.08","17,134,356.18","18,653,587.23","20,260,337.19","15,955,794.11","16,899,181.56","18,935,120.55","22,083,702.23","18,636,328.37","17,550,252.77","20,562,101.65","18,764,911.77","16,412,347.2","15,908,344.92","17,438,769.31","17,450,735.28","16,008,639.55","17,636,224.72","20,506,900.42","21,037,637.8","14,455,719.93","13,584,567.67","15,450,775.64","16,083,077.2","14,128,376.97","14,009,888.09","15,966,447.51","17,408,143.55","14,926,227.12","13,829,961.13","16,720,153.01","17,459,303.54","14,125,777.55","12,965,588.54","15,759,894.21","16,706,431.94","14,088,846.97","14,451,427.28","16,962,045.08","14,757,964.19","17,577,760.62",Revenue,"21,347,359","24,957,289.53","25,308,494.61","29,172,160.4","31,665,147","36,933,044.6"
6680 鑫創電子,-,"62,471","58,587","34,235","28,950","36,254","30,157","29,756","38,010","36,032","32,541","21,144","29,681","32,599","39,331","25,209","36,361","48,712","62,653","35,041","47,808","61,656","54,475","33,360","62,647","69,251","64,865",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GrossProfit,"43,099","37,629","42,081","61,364","47,101","53,582"
8050 廣積,"295,379","214,272","244,870","252,249","231,619","217,446","249,241","252,151","174,593","157,747","182,545","181,198","227,392","262,794","363,230","400,957","447,946","565,071","539,989","454,379","362,986","336,869","323,758","242,059","342,908","350,410","298,921","203,641","202,544","232,465","252,556","251,464","341,308","273,912","325,912","364,260","307,733","340,235","354,833","402,745","497,431","434,597","388,874","335,141","275,297","434,997","216,036","289,896",GrossProfit,"346,769","340,632","257,344","198,556","286,420","544,623"
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"241,198",-,"294,766","111,547","97,299","126,052","120,605","151,993","157,053","151,070","167,183",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GrossProfit,"178,796","169,622","201,518","140,088","206,345","248,520"
3594 磐儀,"98,693","127,854","118,054","117,337","127,308","122,839","127,228","82,104","120,142","109,780","112,350","79,455","114,039","83,233","135,054","89,803","121,879","140,477","186,838","145,600","141,864","113,488","146,155","81,947","96,899","108,073","207,825","98,247","132,873","124,202","125,118","118,848","151,442","126,525","163,751","107,760","163,858","111,325","180,693","153,540","149,679","129,672","211,955","116,862","170,129","86,298","72,971","136,219",GrossProfit,"147,397","218,044","180,504","262,626","177,356","253,046"
2397 友通,"272,666","429,200","371,196","415,904","536,080","495,080","547,108","596,404","480,139","523,286","509,270","493,997","679,713","685,453","661,834","704,579","777,118","893,405","892,925","835,128","779,164","712,242","108,479","525,455","587,954","696,444","864,861","148,689","181,337","197,053","181,802","202,270","222,254","209,530","226,898","232,947","249,175","250,181","243,183","360,370","318,458","310,547","273,532","292,147","309,386","321,976","348,197","392,198",GrossProfit,"738,951","758,328","671,865","660,384","754,408","932,982"
8234 新漢,"413,650","316,579","453,208","383,163","435,431","441,771","538,644","357,117","399,691","413,440","450,415","291,229","340,933","446,520","486,031","436,817","479,530","530,924","563,411","511,172","391,796","407,525","300,188","255,142","278,593","390,824","370,887","268,709","271,111","238,282","282,987","304,489","353,610","367,385","344,250","309,464","367,851","320,425","414,712","337,435","367,081","381,994","467,090","324,330","341,949","379,570","278,855","395,526",GrossProfit,"442,818","387,646","277,661","345,179","259,026","388,324"
2395 研華,"4,558,159","4,792,472","4,772,399","4,724,054","5,410,376","5,697,040","5,267,892","4,395,235","5,765,885","5,192,483","5,042,658","5,208,637","5,217,379","5,706,029","5,999,531","6,157,211","6,499,399","6,779,637","6,676,856","6,910,980","7,014,301","6,016,645","6,219,888","5,547,678","5,931,057","6,173,487","6,723,665","2,765,949","3,194,965","3,200,309","3,424,408","3,379,025","3,717,307","3,616,125","3,680,207","3,590,779","3,980,463","3,746,307","4,027,441","4,136,865","4,307,099","4,323,890","4,349,695","4,051,338","4,400,710","4,370,751","4,338,231","4,760,346",GrossProfit,"7,027,920","7,132,733","6,907,904","7,129,047","7,979,823","9,845,241"
6166 凌華,"967,325","928,216","1,082,703","1,057,934","1,054,201","977,335","1,199,325","975,940","856,428","919,242","1,063,036","869,975","803,255","802,213","1,079,719","857,143","1,093,776","1,126,151","1,174,936","1,077,873","1,073,150","1,002,956","1,025,030","786,572","932,409","950,181","1,125,802","550,824","747,890","689,663","642,652","730,071","937,129","842,496","836,413","976,335","955,357","915,494","899,328","937,987","1,006,281","968,949","1,253,268","916,829","1,022,497","1,056,819","811,200","904,748",GrossProfit,"923,364","1,020,928","1,131,620","1,143,031","1,293,055","1,437,586"
3088 艾訊,"323,626","440,423","445,695","374,147","449,332","434,530","435,439","356,723","406,183","382,370","405,458","355,094","375,879","510,458","459,601","491,727","482,430","587,975","668,466","515,577","668,941","624,884","593,671","540,602","599,332","700,018","699,575","301,192","321,630","338,551","331,735","387,277","408,873","366,023","365,256","399,601","387,759","448,298","471,057","464,753","403,300","448,252","429,141","381,345","316,644","338,387","372,456","407,576",GrossProfit,"561,945","573,886","587,844","674,112","721,611","804,716"
6579 研揚,"406,093","431,040","472,609","491,945","544,585","470,668","556,724","454,743","529,979","445,961","499,770","375,202","377,736","450,673","651,440","553,187","758,055","637,316","804,577","622,544","729,876","752,926","729,028","612,900","719,384","582,369","663,979",-,-,-,-,-,-,-,-,-,-,-,-,-,"897,853","467,712","514,240","405,858","473,320","401,721","372,740","511,842",GrossProfit,"667,529","716,735","745,848","753,263","839,483","965,131"
公司平均數,"916,948.9","860,280.75","891,035.7","872,329.75","979,764.7","988,107","994,639.75","833,352.56","974,561.1","908,926.75","922,004.75","875,103.44","907,334.1","997,774.7","1,097,307.9","1,079,625.9","1,093,769.2","1,256,629.8","1,186,541.8","1,121,984.1","1,130,718.5","1,015,524.3","962,127.7","877,770.8","970,823.6","1,017,212.7","1,118,756.2","619,607.3","721,764.3","717,217.9","748,751.1","767,634.9","875,989","828,856.56","848,955.3","854,449.44","916,028","876,037.9","941,606.7","970,527.9","993,397.75","933,201.6","985,974.4","852,981.25","913,741.5","923,814.9","851,335.75","974,793.9",GrossProfit,"1,107,858.8","1,135,618.2","1,100,418.9","1,136,765","1,256,462.8","1,547,375.1"
電腦及週邊設備業,"1,243,923.73","1,108,179.42","1,239,437.32","1,027,453.91","1,175,930.14","1,345,166.71","1,396,142.31","985,562.26","1,445,876.38","1,613,745.55","1,643,119.85","1,554,160.02","1,659,134.49","1,710,705.72","1,877,624.05","1,661,754.15","1,563,883.65","1,767,867.5","1,614,307.57","1,411,816.77","1,533,712.23","1,746,592.5","1,741,456.74","1,599,639.68","1,866,337.1","2,061,632.76","2,024,281.23","1,131,032.06","1,055,397.68","1,169,831.63","1,153,808.02","1,131,714.36","1,203,595.82","1,286,173.18","1,346,472.05","1,246,196.27","1,131,305.9","1,365,959.77","1,402,886.96","1,251,560.04","1,160,236.16","1,315,367.15","1,339,156.58","1,122,662.27","1,079,130.81","1,259,706.29","1,077,253.42","1,247,007.9",GrossProfit,"2,151,036.78","2,112,712.27","2,354,201.55","2,541,117.46","2,717,294.18","3,296,729.18"
6680 鑫創電子,-,"32,079","23,815","19,084","13,221","21,023","13,216","13,110","23,234","18,580","12,865","2,932","11,889","9,132","16,385","2,906","12,383","19,774","33,027","9,348","17,772","27,376","21,723",-3076,"20,303","28,445","14,916",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OperatingIncome,441,-10327,-2047,"13,234",961,"3,715"
8050 廣積,"65,805","7,069","15,365","56,856","30,883","32,991","20,108","41,314",-16967,-39969,-24068,-18068,"19,443","49,825","105,068","180,250","209,422","318,378","285,069","199,299","68,823","114,274","72,892",-4176,"81,816","76,602",-44928,"67,166","58,303","96,995","87,732","91,506","137,478","88,295","115,319","162,405","88,783","146,210","131,406","195,578","268,455","202,813","125,264","137,683","73,584","158,101","28,233","81,407",OperatingIncome,"47,757","43,703",-6070,-98938,"12,654","181,726"
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"112,828",-,"114,392","45,519","21,186","43,004","24,536","55,063","54,277","57,130","51,252",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OperatingIncome,"77,244","61,560","89,202","33,401","92,226","114,981"
3594 磐儀,-25461,"4,872",249,"15,717","19,866","15,513","14,950",-13186,"29,023","13,333","6,874",-11018,"15,172","1,107","26,379",-2537,"25,974","30,189","76,318","43,262","43,190","16,318","49,000",-5229,"4,383","10,366","95,393","1,261","34,547","18,498","21,359","14,167","35,594","4,578","25,782",-13980,"24,542",-33304,"34,534","7,525",-300,-180,"71,970",-27901,"37,681",-90388,-28270,"17,725",OperatingIncome,-38145,"49,839","9,983","64,945",-34225,"36,601"
2397 友通,"97,206","240,431","166,078","205,924","251,793","206,630","122,404","202,575","128,439","169,785","153,254","122,418","195,005","160,682","48,225","139,639","163,410","222,417","202,445","199,107","123,861","76,928","144,890","74,256","119,949","183,882","279,764","43,665","72,036","84,971","57,513","80,330","94,785","88,614","94,236","98,509","111,319","102,076","85,297","206,515","166,566","157,889","121,848","144,260","155,177","164,168","175,375","199,763",OperatingIncome,"199,405","222,356","146,647",-48815,"168,760","286,110"
8234 新漢,"36,739",-19213,"62,222","44,335","58,138","78,172","123,623","23,516","55,987","53,375","75,775",-37314,"14,526","107,756","91,132","82,875","118,203","99,498","109,369","169,538","54,430","58,531",-60180,-90677,-90799,"7,362","28,982","52,582","48,594","18,440","46,194","65,186","101,099","107,338","30,365","38,119","72,406","39,192","111,682","57,837","61,337","74,696","130,862","24,006","26,317","47,662",-26090,"34,734",OperatingIncome,"84,178","47,341",-57648,-29355,-85931,"49,142"
2395 研華,"1,794,084","1,941,451","1,976,946","1,858,169","2,332,835","2,632,589","2,409,909","1,653,622","2,841,226","2,264,400","2,277,305","2,286,861","2,197,345","2,607,617","2,708,600","3,014,675","3,107,626","3,378,386","3,031,490","3,501,502","3,429,756","2,505,678","2,691,314","1,917,469","2,166,214","2,452,202","2,513,884","964,982","1,295,174","1,248,106","1,159,888","1,365,375","1,511,668","1,335,888","1,295,554","1,351,158","1,632,235","1,324,084","1,621,030","1,482,496","1,677,758","1,734,477","1,736,762","1,503,299","1,753,133","1,727,961","1,642,593","1,906,409",OperatingIncome,"2,924,256","3,123,073","2,708,457","2,811,188","3,728,486","5,127,289"
6166 凌華,"94,430","70,404","133,288","166,888","160,800","130,679","308,823","159,306","66,249","85,883","163,408","44,298",-16425,-39483,"150,108","1,470","163,507","257,303","176,736","141,176","87,061","59,027","35,784",-121735,-4371,"41,987","145,802","55,921","194,758","153,401","110,901","126,143","273,658","187,348","103,989","269,017","220,983","152,661","142,742","55,804","119,323","117,410","303,354","109,152","113,033","158,371","4,611","81,574",OperatingIncome,"29,729","158,717","265,951","203,366","417,400","482,194"
3088 艾訊,"58,886","156,792","151,063","95,518","144,710","134,720","123,887","64,493","129,249","102,486","107,723","68,456","72,585","183,157","92,808","156,733","98,974","210,072","262,941","167,916","286,618","252,456","237,148","165,027","207,099","315,154","216,825","78,102","88,705","107,117","72,807","137,030","137,614","120,014","84,032","129,928","114,567","146,680","148,633","149,244","94,464","139,751","107,335","73,667","51,437","109,412","122,726","125,835",OperatingIncome,"142,900","158,460","183,448","217,526","273,182","293,656"
6579 研揚,"80,381","114,236","131,063","163,715","197,541","153,760","204,943","119,008","204,381","137,122","160,081","51,454","66,523","137,356","293,308","200,507","378,666","266,430","348,487","236,707","262,062","258,891","248,763","90,577","195,649","80,158","181,464",-,-,-,-,-,-,-,-,-,-,-,-,-,"323,712","177,785","191,918","103,233","175,541","99,158","49,797","168,977",OperatingIncome,"129,680","180,087","173,345","149,653","209,639","323,450"
公司平均數,"275,258.75","283,124.56","295,565.44","291,800.66","356,643","378,453","371,318.12","251,528.67","384,535.66","311,666.12","325,913","278,891","286,229.22","357,461","392,445.88","419,613.12","439,099.3","533,605.25","464,027.4","471,337.4","439,475.9","341,248.3","346,587","207,749.9","275,452","325,328.8","348,335.4","180,525.58","256,016.72","246,789.72","222,342","268,533.84","327,413.72","276,010.72","249,896.72","290,736.56","323,547.84","268,228.44","325,046.28","307,857","338,914.38","325,580.12","348,664.12","258,424.88","298,237.88","296,805.62","246,121.88","327,053",OperatingIncome,"359,744.5","403,480.9","351,126.8","331,620.5","478,315.2","689,886.4"
電腦及週邊設備業,"350,837.37","284,478.17","412,607.76","221,046.37","317,340.4","463,023.72","470,852.74","182,192.44","570,510.89","664,069.14","627,257.52","583,006.57","663,079.55","689,933.22","758,789.88","612,769.71","549,244.03","631,904.84","521,563.56","404,424.1","515,973.11","655,384.17","621,695.63","551,416.29","732,267.47","877,929.31","686,832.27","320,546.27","276,581.2","329,537.52","264,840.97","318,833.49","380,691.35","387,062.32","436,554.44","393,350.64","317,117.74","446,564.03","490,337.67","401,893.57","343,607.66","463,496.91","457,967.6","339,849.49","288,203.56","362,031.9","268,158.09","365,418.36",OperatingIncome,"986,476.45","849,988.94","1,037,510.19","1,139,321.83","1,378,588.94","1,796,638.6"
6680 鑫創電子,-,"31,705","21,388","15,900","13,297","17,116","5,118","13,128","14,576","10,221","2,032","5,735","6,429","8,186","12,626","8,793","16,054","26,851","19,339","7,098","21,592","30,097","9,875","7,193","20,741","20,511","48,027",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NetProfit,893,-28204,"2,928","17,590","1,899",61
8050 廣積,"50,863","33,633","25,576","111,131","64,440","11,174","72,415","15,911","45,101",-1049,423,157,"1,752","6,551","212,299","171,313","248,549","436,071","283,638","233,714","199,396","270,291",-40715,"183,963","155,776","79,412","89,815","61,083","45,062","77,892","73,536","89,937","116,968","89,037","122,887","146,317","61,116","167,208","124,865","166,301","210,257","168,556","115,361","75,183","66,689","184,062","39,028","243,763",NetProfit,"141,082",-176570,"100,330",-36033,"114,481","197,539"
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"91,841",-,"86,411","31,778","22,537","41,020","9,526","57,510","50,503","40,771","44,962",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NetProfit,"65,346","14,179","76,942","30,421","70,481","82,316"
3594 磐儀,-63724,"25,652","14,848","14,314","23,848","7,954",-4641,-29249,"16,232","20,738",715,-9118,"10,003",-326,"20,933","13,345","19,216","58,227","37,754","35,809","54,288","34,446",-205,"17,230","38,503","10,601","85,748","5,694","33,582","11,083","19,326","11,078","21,909","12,053","44,168",-21197,"14,050",438,"46,134","1,635","2,803",-25744,"51,450",-77379,"49,480","232,408",-38377,"21,529",NetProfit,-31872,-14506,"37,095","67,309",-23970,"47,368"
2397 友通,"77,659","186,583","129,957","161,578","199,846","164,887","98,949","153,106","94,026","128,576","107,333","97,186","132,753","115,072","436,895","110,119","147,304","200,020","135,468","126,151","99,375","35,625","89,293","54,831","81,185","119,630","237,389","57,040","70,428","66,942","58,937","76,008","74,237","85,506","101,540","72,897","90,497","120,183","75,410","148,701","136,327","118,128","123,492","78,300","125,934","136,439","130,976","157,821",NetProfit,"138,713","139,785","106,307",-55713,"120,365","206,388"
8234 新漢,"46,583","41,568","70,894","39,105","62,341","43,350","68,177","12,565","44,852","42,819","85,308",-35756,"23,754","94,342","97,081","96,806","111,712","667,692","54,265","140,430","23,717","91,507",-65223,-21070,"3,310","8,008","57,607","61,263","52,400","10,781","52,087","70,170","95,045","264,278","57,757","2,122","42,521","71,903","77,878","41,656","56,380","34,733","90,339",-43142,"87,260","49,986","16,316","30,043",NetProfit,"81,041",-28012,-12977,"4,564",-64928,"45,800"
2395 研華,"1,623,474","1,594,639","1,640,948","1,622,869","1,909,601","2,157,044","1,703,341","1,280,407","2,338,224","1,955,214","1,729,142","1,928,897","1,815,308","2,286,911","2,276,247","2,568,035","2,463,791","3,176,293","2,534,440","2,954,676","3,005,793","2,557,298","2,271,566","1,968,758","2,109,362","2,249,790","2,560,308","866,968","1,126,041","1,108,334","1,025,866","1,156,255","1,208,583","1,327,142","1,240,030","1,206,212","1,332,693","1,235,918","1,352,152","1,316,461","1,469,206","1,473,549","1,429,738","1,205,513","1,722,572","1,597,730","1,367,938","1,713,223",NetProfit,"2,691,319","1,969,809","2,745,735","3,093,653","3,318,280","4,503,210"
6166 凌華,"79,181","46,847","118,278","111,467","111,429","97,476","123,375","86,247","26,778","56,047","72,576","2,169","66,807",-51491,"101,399","50,687","438,414","231,511","84,784","73,557","52,634","96,853","70,837",-89704,-101008,"30,176","174,051","45,297","171,696","119,272","79,579","108,677","200,561","151,951","128,920","190,258","164,643","157,257","96,446","57,038","92,636","49,394","232,081","23,814","121,592","165,628","21,754","57,730",NetProfit,"60,416",-19411,"280,064","178,362","339,515","327,492"
3088 艾訊,"43,477","110,078","116,012","116,505","170,406","101,283","72,261","67,384","110,414","60,878","67,922","119,505","45,883","135,785","89,742","133,652","80,321","192,973","195,691","123,820","221,145","227,089","155,570","147,904","162,500","227,681","232,317","70,450","75,381","79,584","56,473","108,855","97,738","103,566","75,537","92,462","79,210","155,247","113,587","110,602","80,188","95,002","89,016","30,257","763,800","91,380","82,961","97,873",NetProfit,"132,165",-28725,"196,190","208,978","252,613","227,435"
6579 研揚,"164,499","347,821","79,825","257,012","107,446","96,377","207,410",-34870,"259,490","89,953","149,598","43,384","29,597","101,526","339,246","149,924","308,703","383,945","335,264","337,537","365,400","345,337","118,976","476,806","282,363","38,638","341,613",-,-,-,-,-,-,-,-,-,-,-,-,-,"268,354","152,505","161,505","91,011","225,801","137,834","277,375","123,605",NetProfit,"273,411","2,134","229,137","309,734","520,720","375,357"
