公司,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,Category
8234 新漢,"83,182","63,519","40,941","105,608","118,075",-62672,-171418,"167,814","101,824",-94260,"147,548","47,793","155,245",-20786,-25492,-251605,"142,485",-30620,-73,"57,577","119,231","87,437",-182576,-154796,"93,045","150,849","141,877","33,400","338,735",-5078,"238,873","354,463",-28974,"59,689",-420642,-169695,-145979,"121,458","157,136","295,469","300,306","132,561","332,333","536,775","154,638",-77029,-113917,"137,903",OperatingCashflow
2395 研華,"784,845","1,258,792","1,255,389","1,760,655","616,358","1,248,230","1,057,457","1,989,196","1,385,854","1,483,951","1,015,434","2,018,920","1,768,679","1,311,710","2,032,531","2,901,655",-420826,"1,724,151","2,180,931",-472967,"339,752","780,964","4,519,050","1,785,980","1,048,079",-139921,"4,208,909","1,078,402",-254896,"1,128,194","6,517,114","688,154","1,043,076","590,542","4,935,026","2,562,923",-1035943,"1,628,766","5,834,276","3,304,175",-1020171,"1,877,723","8,389,850","417,258","508,615","922,824","7,267,264","1,812,148",OperatingCashflow
6166 凌華,"175,544","40,747","280,317","260,149","255,087","8,142","93,392","141,212","580,751","18,635","24,326","284,705","443,988",-227756,"373,686","97,952","363,299","158,413","34,217",-149754,-1821,-19168,"133,082","49,509","253,806","187,166","413,222","678,743","803,428",-494961,"41,118","303,877","257,230",-246904,-564057,-615150,-88180,-71377,"509,726","581,464","283,202","137,709",-109869,"260,132","154,050","278,305","192,676","543,338",OperatingCashflow
3088 艾訊,-1504,"95,174",-54157,"103,583","119,300","72,501","56,731","31,907","192,487","20,370","113,651","246,338","29,530","115,830","237,639","82,747","45,189",-116123,"151,477","226,170",-57724,"207,527","154,514","343,946",-125885,"102,524","71,680","58,791",-32426,"113,929","126,947","333,046",-306295,-91341,"210,135","590,632",-464227,"128,345","125,327","451,234",-105468,"76,479","590,282","340,546","216,916","80,731","302,074","396,413",OperatingCashflow
6579 研揚,-,-,-,-,-,-,-,-,-,-,-,-,-,"240,541","177,458","342,822",-65809,"141,617","230,474","176,657",-57390,-75542,"396,610","45,402","279,295","190,950","252,907","16,394","134,887",-60941,"222,533","419,612","201,505",-333335,-160903,-96299,"199,566",-15344,"417,532","204,448","646,370","359,615","835,221","225,621","759,138","284,801",-251587,"334,478",OperatingCashflow
公司平均數,"149,062.72","211,725.42","219,747.72","348,639.44","188,397.14","177,898.14","179,802.72","366,025.28","365,850.16","166,003.14","260,102.58","422,283.56","362,913.84","212,610.5","403,161.88","423,738","4,401.75","217,933","362,015","27,346.375","24,168.25","127,370.445","725,990.9","260,490.89","217,183.44","100,947.664","642,567.25","251,977.22","136,037.22","42,403.555","774,354.9","278,059.88","126,914.78",-870853,"416,848.56","279,603.56",-1930370,"166,860","896,401.56","586,169.3","75,304.7","366,138","1,097,116.2","220,641","236,006.6","204,745","746,639.6","351,974.3",OperatingCashflow
電腦及週邊設備業,"260,024.02","783,334.43","461,593.09","693,511.54","676,232.74","187,918.02","245,330.33","665,881.82","29,200.07","183,412.32","190,335.64","944,670.88","1,196,339.99","75,350.52","857,541.78","1,086,808.58","3,229.11",-118629.51,"61,709.17","507,508.19","91,429.62",-463920.48,"160,937.04","418,822.05","317,354.38","545,454.44","623,354.73","1,471,524.44","408,375.52",-648126.57,"1,197,893.83","1,079,752.25",-127209.05,-369390.64,"888,616.98","241,300.75",-696766.43,-300696.05,"2,067,422.27","1,792,802.38","1,196,696.75","672,056.7","1,268,705.97","1,770,250.18","356,081.05",-329383.62,"59,587.42","1,045,192.57",OperatingCashflow
6680 鑫創電子,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-33841,-,-67997,-17774,"12,309",-85482,"3,472",-4760,-12653,"27,405",-195,-10502,-11656,"55,037",-20291,"12,878","41,057","3,208",-29766,-30804,"72,271",-14224,-86138,"21,757",-35480,-401923,"102,208",InvestingCashflow
8050 廣積,-266747,"52,437",-36610,"187,554",-6756,"3,344",-178975,-52179,-42664,"62,077",-31889,-170903,-4901,-224115,-21785,-395421,"148,652",-281676,"191,979",-27254,-91205,-147251,"181,061","38,663","17,751",-52644,-471569,-123705,-670560,-170251,"201,421",-423988,-169073,-137700,"61,433","586,510",-103447,"16,647",-225724,-628303,-26610,"40,952",-487350,"373,165","240,211",-2942,-223400,-156751,InvestingCashflow
6922 宸曜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4411,-,-819,-882,-632,-17222,-86796,-11907,-606155,-49354,"85,346",InvestingCashflow
3594 磐儀,-3604,-3348,-3681,-11574,-57125,-9389,-21329,58,-5617,-8206,-9084,-6894,-43756,-7108,-75094,-47581,-2358,-3969,-212328,-72540,-12961,"28,154",-14286,"86,650",-910,-3794,-96874,-108070,-51726,-376603,"89,125",-18542,-83969,"10,333","22,932",-30987,-1973,-9182,-105732,-99436,-70512,-22620,-6277,"43,996","1,551","105,970",-35328,-71077,InvestingCashflow
2397 友通,"210,308",-251,-5307,"65,643",-1891,-430,-26418,-98356,-330112,-24455,-6762,-13803,-30228,-383,-4941,-16179,-5046,-23139,"2,931","44,876","8,277",-185537,-189334,-49451,"27,731",78,-1601,"401,023",-11213,-5203,"47,737",-1405,-61731,-387491,-38193,-47513,-97387,-114100,-58822,-20719,-2504,-8661,-2724,"368,159",-14543,-9086,-928673,-200157,InvestingCashflow
8234 新漢,-22558,-1017355,-18585,-38908,-52411,"79,471","283,756",-19256,-40090,-14806,-15226,-13246,-28376,-13779,-21518,-5571,-21653,-28550,-22838,-15697,-47202,-89007,-77238,-59241,-58750,-73557,-27168,-36131,-14328,-27105,-19688,-69548,-16196,-35090,-15272,-121,-24226,"50,470",-92124,"544,936",-15943,"334,999",-20347,-29400,-14325,"216,663",-60860,-21905,InvestingCashflow
2395 研華,-1491252,-1193659,"1,161,846",-1280320,-534047,-1170827,"2,078,715",-2121487,-816625,-1634679,"2,844,345",-2036476,-1044408,-2453850,"1,811,022",-1742997,-316267,-1954210,"3,063,720","1,336,502",-608639,-476363,-30524,-653632,-813643,-175662,-341899,-474610,-729739,"249,707",-884561,"555,709",-396444,-348293,-230799,-300240,-455080,-490912,-500518,-793092,-1054547,-156487,-560119,-801593,"890,098",-255917,-714785,-389239,InvestingCashflow
6166 凌華,-70406,-24909,"117,332",-31488,-259326,-113275,-59834,-20996,-158315,-138352,-8248,-702082,-151997,-99101,"234,342",-351454,-107136,"165,029","126,880",-59384,-47482,-33396,-38562,-39386,-28304,-109330,-43567,-464307,-13105,-53174,-565864,-94991,-2854392,-234205,-163954,-90567,-189486,"463,461",-109854,"32,539",-104437,-65303,-12210,-53411,-47646,-54065,-85685,"53,796",InvestingCashflow
3088 艾訊,-8459,-10543,-13970,-8330,-10119,-8900,-6163,-147923,-29135,"6,197",-10386,-41775,-18284,-14341,-7550,-14491,-25957,-171621,-60655,-23949,-16378,-10478,-8964,-43241,"10,246","87,294",-5353,-23633,-17178,-7595,-7767,-10765,"113,502",-13390,-68747,-504984,-15850,-12506,-32824,-108599,-72446,-98876,-28580,-222782,-297888,-22880,"68,030",-41568,InvestingCashflow
6579 研揚,-,-,-,-,-,-,-,-,-,-,-,-,-,-25814,"11,293",-16490,-37437,-28617,"15,351",-30374,-11125,-1748,"44,381",-12308,-2047,-10540,"136,175",-36268,-14333,-21697,"159,892",-30743,-36462,-250427,"120,743","2,203",-5253,"23,341","33,844",-22204,-39395,"798,130","248,052",-21344,-138897,-95904,"332,478",-57303,InvestingCashflow
公司平均數,-1652718,-2197628,"171,575",-1117423,-921675,-1220006,"295,678.84",-2460139,-1422558,-1752224,"394,678.56",-2985179,-1321950,-2838491,"240,721.12",-2590184,-367202,-2326753,"388,130","144,022.5",-826715,-949467,-133466,-799943,-865700,-325846,-937338,-862229,-1526942,-424574,-952300,-94468,-3515267,-1407919,-256820,-405990,-879824,-36135,-1088546,-1125463,-1418080,"89,377.3",-901001,-516144,"62,841.1",-759796,-2099500,-696650,InvestingCashflow
電腦及週邊設備業,-314184.84,-234457.38,"29,307",-185803.02,-199502.44,-298699.19,"1,630.01",-373816.2,-87582.66,-192076.33,-245185.87,-220490.04,-226332.09,-199789.8,-177586.48,-228548.55,-381948.73,-159183.04,-400547.17,-247038.57,-161993.2,-200787.5,-20553.56,-278900.11,-137443.2,-236670.36,"6,480.94",-236534.16,-138224.23,-267207.19,-456062.24,-222603.9,-347797.98,-459655.41,-56070.07,-81400.89,-390532.5,-324610.88,"40,572.54",-128436.76,-725918.37,-239478.15,-60729.3,-418255.33,-200082.2,-441984.94,-405192.2,-573266.69,InvestingCashflow
6680 鑫創電子,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,717",-,"12,584",-1320,-1326,"61,418","9,067",-11485,"10,012",-44905,"9,342",-10662,"7,566",-38236,"33,558","23,552","1,554",-46535,"15,224",-35110,-2070,"18,178",-50393,"14,231",-9174,"434,928",-94485,FinancingCashflow
